date,open,high,low,close,volume
2015-01-19,211.8,220.94,207.7,216.34,13037.39910941995
2015-01-20,216.01,216.81,201.98,210.65,14129.240185739982
2015-01-21,211.94,228.9,205.0,227.16,23160.65691070968
2015-01-22,227.75,239.0,226.01,234.08,25405.329613209426
2015-01-23,234.08,240.0,225.55,233.64,15268.268486210092
2015-01-24,233.42,249.99,230.03,249.19,13793.77647934986
2015-01-25,249.33,257.0,241.33,255.31,28760.9284278501
2015-01-26,254.67,309.9,254.67,274.8,55829.613594180024
2015-01-27,274.76,278.51,243.1,263.98,21159.8262762792
2015-01-28,263.97,266.45,225.91,236.07,28092.33473261973
2015-01-29,236.07,242.18,220.0,235.79,26012.169410879498
2015-01-30,235.12,244.98,225.52,228.98,20614.836943560036
2015-01-31,228.96,234.8,215.75,216.9,19208.279052859813
2015-02-01,218.04,233.0,208.48,226.93,18408.25262142002
2015-02-02,226.93,241.98,221.79,238.47,15612.794899650076
2015-02-03,238.38,244.39,223.79,227.99,17499.53324050997
2015-02-04,227.94,231.0,220.02,227.0,14983.463982689918
2015-02-05,226.93,229.0,210.43,216.81,12982.785957839838
2015-02-06,216.46,225.86,210.59,223.37,10951.787094029996
2015-02-07,223.44,231.14,221.77,228.3,9663.674309580034
2015-02-08,228.78,232.89,217.28,223.88,13775.009494709831
2015-02-09,223.92,225.99,215.0,220.9,19473.956647489947
2015-02-10,220.91,222.0,215.0,220.42,6882.646844160099
2015-02-11,220.42,223.43,217.99,219.55,10676.293076500042
2015-02-12,219.57,223.09,218.01,223.0,6964.6063671800275
2015-02-13,223.02,242.35,221.37,237.0,21412.459024349966
2015-02-14,237.0,259.31,236.9,256.99,19824.753054699897
2015-02-15,256.81,267.92,227.75,235.63,29173.27099241955
2015-02-16,235.61,241.23,229.2,234.7,12394.829406260023
2015-02-17,234.69,248.78,232.01,244.7,13121.541128869956
2015-02-18,244.6,247.0,232.01,237.37,12821.911619080058
2015-02-19,237.37,245.01,235.59,240.59,8704.339727860022
2015-02-20,240.61,249.32,239.41,245.48,9342.689255140045
2015-02-21,245.0,247.8,244.0,245.41,2982.2120048500005
2015-02-22,245.84,247.42,232.48,236.5,7751.749715920018
2015-02-23,236.46,241.0,232.05,239.65,6327.726475070042
2015-02-24,239.63,240.97,236.07,239.55,5144.113556890006
2015-02-25,239.53,240.98,236.0,237.97,3810.53504108002
2015-02-26,237.99,238.55,234.01,236.84,5492.008014450025
2015-02-27,236.83,256.15,236.16,252.78,22012.00337071966
2015-02-28,252.29,254.56,245.2,253.47,5626.62832387002
2015-03-01,253.45,260.25,245.0,258.34,9678.17855999006
2015-03-02,257.95,277.0,255.61,274.93,18015.25979410004
